dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heteroscedastic,0.5,500,Naive_OLS,0.908,0.041999999999999926,0.18759007482296755,0.18741507040658195,500
Heteroscedastic,0.5,500,Sandwich_HC3,0.956,0.006000000000000005,0.2098820672833435,0.20780965236094545,500
Heteroscedastic,0.5,500,Sandwich_HC4,0.96,0.010000000000000009,0.21400223643295416,0.21210355066357484,500
Heteroscedastic,0.5,500,AKS_Adaptive,0.94,0.010000000000000009,0.19868029465079542,0.19494635050814874,500
Heteroscedastic,0.5,500,AMRI_v1,0.952,0.0020000000000000018,0.2143556107331651,0.2159645031285668,500
Heteroscedastic,0.5,500,AMRI_v2,0.952,0.0020000000000000018,0.20882880927068204,0.20686170347031047,500
Heteroscedastic,1.0,100,Naive_OLS,0.84,0.10999999999999999,0.5113194475709341,0.5063207269248489,500
Heteroscedastic,1.0,100,Sandwich_HC3,0.944,0.006000000000000005,0.6936548232781614,0.6468114224507702,500
Heteroscedastic,1.0,100,Sandwich_HC4,0.962,0.01200000000000001,0.7886833592536376,0.7055834853572958,500
Heteroscedastic,1.0,100,AKS_Adaptive,0.916,0.03399999999999992,0.6399656125002595,0.5793634382782855,500
Heteroscedastic,1.0,100,AMRI_v1,0.95,0.0,0.7154219656010525,0.6750455380707598,500
Heteroscedastic,1.0,100,AMRI_v2,0.944,0.006000000000000005,0.6931694152146842,0.644993553113649,500
Heteroscedastic,1.0,500,Naive_OLS,0.822,0.128,0.22615111050127815,0.22578869799664708,500
Heteroscedastic,1.0,500,Sandwich_HC3,0.936,0.013999999999999901,0.3174514570001567,0.30834943300274403,500
Heteroscedastic,1.0,500,Sandwich_HC4,0.946,0.0040000000000000036,0.3264484241745491,0.3157079004762304,500
Heteroscedastic,1.0,500,AKS_Adaptive,0.92,0.029999999999999916,0.3050325990151695,0.2963738631930626,500
Heteroscedastic,1.0,500,AMRI_v1,0.954,0.0040000000000000036,0.3339292266392388,0.32455568774925586,500
Heteroscedastic,1.0,500,AMRI_v2,0.938,0.01200000000000001,0.31817068490474026,0.30910065499929124,500
Heavy_Tails,0.0,100,Naive_OLS,0.95,0.0,0.40070195067359693,0.3984752733898996,500
Heavy_Tails,0.0,100,Sandwich_HC3,0.944,0.006000000000000005,0.4014210675206503,0.39408432282270445,500
Heavy_Tails,0.0,100,Sandwich_HC4,0.96,0.010000000000000009,0.4358630506649531,0.4261459933145675,500
Heavy_Tails,0.0,100,AKS_Adaptive,0.948,0.0020000000000000018,0.3986527867936568,0.39463420143143546,500
Heavy_Tails,0.0,100,AMRI_v1,0.952,0.0020000000000000018,0.4058889349118027,0.3985973987692715,500
Heavy_Tails,0.0,100,AMRI_v2,0.95,0.0,0.404583296429755,0.3978960536262013,500
Heavy_Tails,0.0,500,Naive_OLS,0.94,0.010000000000000009,0.17624535610484446,0.1761714695839638,500
Heavy_Tails,0.0,500,Sandwich_HC3,0.944,0.006000000000000005,0.17612087973807652,0.17642577723078173,500
Heavy_Tails,0.0,500,Sandwich_HC4,0.944,0.006000000000000005,0.17875624028761883,0.17898811423115774,500
Heavy_Tails,0.0,500,AKS_Adaptive,0.94,0.010000000000000009,0.1759309043577874,0.17580907682134356,500
Heavy_Tails,0.0,500,AMRI_v1,0.942,0.008000000000000007,0.17679411564866446,0.17625701425443652,500
Heavy_Tails,0.0,500,AMRI_v2,0.944,0.006000000000000005,0.17644367969552274,0.17631581910647448,500
Heavy_Tails,0.5,100,Naive_OLS,0.934,0.015999999999999903,0.39788890804148747,0.39397487679899135,500
Heavy_Tails,0.5,100,Sandwich_HC3,0.936,0.013999999999999901,0.39717663603712516,0.3867378814524279,500
