dgp,category,n,delta,valid_reps,cov_naive,cov_robust,cov_amri,width_naive,width_robust,width_amri,avg_weight,pct_full_robust,pct_full_naive
MLR_omitted,MLR,1000,1.0,1000,0.945,0.946,0.945,0.1646433511185175,0.1651329793799519,0.16496501929632318,0.1451885142448164,0.043,0.678
Logistic_correct,Logistic,100,0.0,1000,0.964,0.96,0.964,1.0935252672797264,1.0823682544922764,1.092681248888473,0.07715335890839393,0.019,0.801
Logistic_correct,Logistic,100,0.25,1000,0.949,0.946,0.946,1.0915526338012547,1.0828440421001433,1.0926897561548603,0.07149510115972234,0.018,0.814
Logistic_correct,Logistic,100,0.5,1000,0.962,0.956,0.96,1.0971744583619054,1.090716662476663,1.0967708621969086,0.07322521594739331,0.012,0.806
Logistic_correct,Logistic,100,0.75,1000,0.958,0.948,0.956,1.09026854717465,1.0794629502928852,1.0897660276712888,0.07297764431726658,0.015,0.804
Logistic_correct,Logistic,100,1.0,1000,0.952,0.954,0.951,1.094169296513849,1.080045444370179,1.0923643946725095,0.06977274864014982,0.013,0.8
Logistic_correct,Logistic,300,0.0,1000,0.951,0.946,0.947,0.6115402052222398,0.6098328258542026,0.6115153536027104,0.08260514772127121,0.013,0.788
Logistic_correct,Logistic,300,0.25,1000,0.949,0.947,0.95,0.6081352911431516,0.6068905346150801,0.6088154937116965,0.07192535905192281,0.01,0.803
Logistic_correct,Logistic,300,0.5,1000,0.948,0.945,0.946,0.6142683200824025,0.6113830487336349,0.614222363236861,0.07344540147273658,0.017,0.808
Logistic_correct,Logistic,300,0.75,1000,0.943,0.943,0.944,0.6138165799925551,0.612414779147787,0.6140609852400104,0.07695694996306278,0.013,0.782
Logistic_correct,Logistic,300,1.0,1000,0.957,0.957,0.957,0.6140275719848689,0.6127640429004906,0.6140333978649206,0.06811496502914782,0.011,0.811
Logistic_correct,Logistic,1000,0.0,1000,0.956,0.957,0.956,0.3332610901581792,0.33316306470870544,0.3335638379459157,0.06625962345734224,0.01,0.804
Logistic_correct,Logistic,1000,0.25,1000,0.948,0.947,0.947,0.3332739112703647,0.3331615809830528,0.3333858835344149,0.08343902580382595,0.017,0.806
Logistic_correct,Logistic,1000,0.5,1000,0.951,0.952,0.951,0.3327033334808386,0.332102421062413,0.3327362083511819,0.08101591356919266,0.011,0.776
Logistic_correct,Logistic,1000,0.75,1000,0.942,0.942,0.941,0.3326182799678642,0.331776672774957,0.33240242527219266,0.08462035398558726,0.015,0.792
Logistic_correct,Logistic,1000,1.0,1000,0.943,0.94,0.943,0.3332140403434874,0.33303532779458334,0.33323125436927037,0.085204397659154,0.013,0.787
Logistic_link,Logistic,100,0.0,1000,0.954,0.947,0.952,1.09333678971593,1.0845010726107673,1.0942005169391276,0.07221962622660454,0.01,0.801
Logistic_link,Logistic,100,0.25,1000,0.934,0.935,0.936,1.1616943697724869,1.1517283549147213,1.1608444314652426,0.08877292266099002,0.016,0.769
Logistic_link,Logistic,100,0.5,1000,0.854,0.853,0.848,1.262113710904287,1.2497770421465948,1.2601184762497288,0.11725308189133032,0.033,0.723
Logistic_link,Logistic,100,0.75,1000,0.708,0.685,0.706,1.3740749208641054,1.3500300945275223,1.3701289245775075,0.14247503534280842,0.041,0.692
Logistic_link,Logistic,100,1.0,1000,0.498,0.46,0.478,1.5355387205497923,1.4698101059655393,1.5062344424238499,0.17740889769159723,0.054,0.649
Logistic_link,Logistic,300,0.0,1000,0.96,0.958,0.96,0.6133508349681133,0.61191480515481,0.6138660689414296,0.07580400809271427,0.017,0.813
Logistic_link,Logistic,300,0.25,1000,0.889,0.889,0.89,0.6502867332447873,0.6504023669005656,0.6513847315616934,0.09374826272264275,0.026,0.767
Logistic_link,Logistic,300,0.5,1000,0.618,0.609,0.616,0.7017438690615013,0.7010132030363998,0.7024001101745108,0.11173258301814093,0.028,0.725
