dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heteroscedastic,1.0,500,AMRI_v1,0.9605,0.010500000000000065,0.3316,0.3316,2000
Heteroscedastic,1.0,500,AMRI_v2,0.9475,0.0024999999999999467,0.3158,0.3158,2000
Heteroscedastic,1.0,2000,Naive_OLS,0.861,0.08899999999999997,0.1126,0.1126,2000
Heteroscedastic,1.0,2000,Sandwich_HC3,0.949,0.0010000000000000009,0.1588,0.1588,2000
Heteroscedastic,1.0,2000,Sandwich_HC4,0.9505,0.000500000000000056,0.16,0.16,2000
Heteroscedastic,1.0,2000,Sandwich_HC5,0.9495,0.0004999999999999449,0.1593,0.1593,2000
Heteroscedastic,1.0,2000,Pairs_Bootstrap,0.936,0.013999999999999901,0.1561,0.1561,500
Heteroscedastic,1.0,2000,Wild_Bootstrap,0.942,0.008000000000000007,0.1551,0.1551,500
Heteroscedastic,1.0,2000,Bootstrap_t,0.936,0.013999999999999901,0.1575,0.1575,500
Heteroscedastic,1.0,2000,AKS_Adaptive,0.945,0.0050000000000000044,0.1558,0.1558,2000
Heteroscedastic,1.0,2000,AMRI_v1,0.958,0.008000000000000007,0.1669,0.1669,2000
Heteroscedastic,1.0,2000,AMRI_v2,0.949,0.0010000000000000009,0.1589,0.1589,2000
Heavy_Tails,0.0,100,Naive_OLS,0.952,0.0020000000000000018,0.4015,0.4015,2000
Heavy_Tails,0.0,100,Sandwich_HC3,0.949,0.0010000000000000009,0.4033,0.4033,2000
Heavy_Tails,0.0,100,Sandwich_HC4,0.957,0.007000000000000006,0.4379,0.4379,2000
Heavy_Tails,0.0,100,Sandwich_HC5,0.95,0.0,0.4136,0.4136,2000
Heavy_Tails,0.0,100,Pairs_Bootstrap,0.92,0.029999999999999916,0.3862,0.3862,500
Heavy_Tails,0.0,100,Wild_Bootstrap,0.924,0.025999999999999912,0.3763,0.3763,500
Heavy_Tails,0.0,100,Bootstrap_t,0.93,0.019999999999999907,0.4023,0.4023,500
Heavy_Tails,0.0,100,AKS_Adaptive,0.9515,0.0015000000000000568,0.3992,0.3992,2000
Heavy_Tails,0.0,100,AMRI_v1,0.9525,0.0025000000000000577,0.4063,0.4063,2000
Heavy_Tails,0.0,100,AMRI_v2,0.9525,0.0025000000000000577,0.4056,0.4056,2000
Heavy_Tails,0.0,500,Naive_OLS,0.953,0.0030000000000000027,0.176,0.176,2000
Heavy_Tails,0.0,500,Sandwich_HC3,0.9525,0.0025000000000000577,0.1759,0.1759,2000
Heavy_Tails,0.0,500,Sandwich_HC4,0.956,0.006000000000000005,0.1785,0.1785,2000
Heavy_Tails,0.0,500,Sandwich_HC5,0.9535,0.0035000000000000586,0.1767,0.1767,2000
Heavy_Tails,0.0,500,Pairs_Bootstrap,0.946,0.0040000000000000036,0.1722,0.1722,500
Heavy_Tails,0.0,500,Wild_Bootstrap,0.944,0.006000000000000005,0.1715,0.1715,500
Heavy_Tails,0.0,500,Bootstrap_t,0.946,0.0040000000000000036,0.1735,0.1735,500
Heavy_Tails,0.0,500,AKS_Adaptive,0.953,0.0030000000000000027,0.1757,0.1757,2000
Heavy_Tails,0.0,500,AMRI_v1,0.9535,0.0035000000000000586,0.1765,0.1765,2000
Heavy_Tails,0.0,500,AMRI_v2,0.952,0.0020000000000000018,0.1762,0.1762,2000
Heavy_Tails,0.0,2000,Naive_OLS,0.945,0.0050000000000000044,0.0877,0.0877,2000
Heavy_Tails,0.0,2000,Sandwich_HC3,0.947,0.0030000000000000027,0.0877,0.0877,2000
Heavy_Tails,0.0,2000,Sandwich_HC4,0.947,0.0030000000000000027,0.088,0.088,2000
Heavy_Tails,0.0,2000,Sandwich_HC5,0.947,0.0030000000000000027,0.0878,0.0878,2000
Heavy_Tails,0.0,2000,Pairs_Bootstrap,0.94,0.010000000000000009,0.086,0.086,500
Heavy_Tails,0.0,2000,Wild_Bootstrap,0.944,0.006000000000000005,0.0861,0.0861,500
Heavy_Tails,0.0,2000,Bootstrap_t,0.944,0.006000000000000005,0.0861,0.0861,500
Heavy_Tails,0.0,2000,AKS_Adaptive,0.945,0.0050000000000000044,0.0877,0.0877,2000
Heavy_Tails,0.0,2000,AMRI_v1,0.947,0.0030000000000000027,0.088,0.088,2000
Heavy_Tails,0.0,2000,AMRI_v2,0.945,0.0050000000000000044,0.0878,0.0878,2000
Heavy_Tails,0.25,100,Naive_OLS,0.954,0.0040000000000000036,0.4003,0.4003,2000
Heavy_Tails,0.25,100,Sandwich_HC3,0.949,0.0010000000000000009,0.3996,0.3996,2000
Heavy_Tails,0.25,100,Sandwich_HC4,0.9645,0.014500000000000068,0.4334,0.4334,2000
Heavy_Tails,0.25,100,Sandwich_HC5,0.956,0.006000000000000005,0.4096,0.4096,2000
Heavy_Tails,0.25,100,Pairs_Bootstrap,0.936,0.013999999999999901,0.3821,0.3821,500
Heavy_Tails,0.25,100,Wild_Bootstrap,0.916,0.03399999999999992,0.37,0.37,500
Heavy_Tails,0.25,100,Bootstrap_t,0.928,0.02199999999999991,0.3979,0.3979,500
Heavy_Tails,0.25,100,AKS_Adaptive,0.9545,0.0045000000000000595,0.4,0.4,2000
Heavy_Tails,0.25,100,AMRI_v1,0.9565,0.006500000000000061,0.4067,0.4067,2000
Heavy_Tails,0.25,100,AMRI_v2,0.956,0.006000000000000005,0.4043,0.4043,2000
Heavy_Tails,0.25,500,Naive_OLS,0.94,0.010000000000000009,0.1761,0.1761,2000
Heavy_Tails,0.25,500,Sandwich_HC3,0.9435,0.00649999999999995,0.1762,0.1762,2000
Heavy_Tails,0.25,500,Sandwich_HC4,0.945,0.0050000000000000044,0.1788,0.1788,2000
Heavy_Tails,0.25,500,Sandwich_HC5,0.944,0.006000000000000005,0.177,0.177,2000
Heavy_Tails,0.25,500,Pairs_Bootstrap,0.94,0.010000000000000009,0.1726,0.1726,500
Heavy_Tails,0.25,500,Wild_Bootstrap,0.928,0.02199999999999991,0.1721,0.1721,500
Heavy_Tails,0.25,500,Bootstrap_t,0.934,0.015999999999999903,0.1743,0.1743,500
Heavy_Tails,0.25,500,AKS_Adaptive,0.941,0.009000000000000008,0.1763,0.1763,2000
Heavy_Tails,0.25,500,AMRI_v1,0.944,0.006000000000000005,0.178,0.178,2000
Heavy_Tails,0.25,500,AMRI_v2,0.944,0.006000000000000005,0.1768,0.1768,2000
Heavy_Tails,0.25,2000,Naive_OLS,0.9425,0.007499999999999951,0.0877,0.0877,2000
Heavy_Tails,0.25,2000,Sandwich_HC3,0.94,0.010000000000000009,0.0877,0.0877,2000
Heavy_Tails,0.25,2000,Sandwich_HC4,0.943,0.007000000000000006,0.088,0.088,2000
Heavy_Tails,0.25,2000,Sandwich_HC5,0.94,0.010000000000000009,0.0878,0.0878,2000
Heavy_Tails,0.25,2000,Pairs_Bootstrap,0.946,0.0040000000000000036,0.0862,0.0862,500
Heavy_Tails,0.25,2000,Wild_Bootstrap,0.942,0.008000000000000007,0.0857,0.0857,500
Heavy_Tails,0.25,2000,Bootstrap_t,0.932,0.017999999999999905,0.0864,0.0864,500
Heavy_Tails,0.25,2000,AKS_Adaptive,0.9425,0.007499999999999951,0.0877,0.0877,2000
Heavy_Tails,0.25,2000,AMRI_v1,0.9435,0.00649999999999995,0.0884,0.0884,2000
Heavy_Tails,0.25,2000,AMRI_v2,0.9415,0.008499999999999952,0.0878,0.0878,2000
Heavy_Tails,0.5,100,Naive_OLS,0.9585,0.008500000000000063,0.3994,0.3994,2000
Heavy_Tails,0.5,100,Sandwich_HC3,0.949,0.0010000000000000009,0.3976,0.3976,2000
Heavy_Tails,0.5,100,Sandwich_HC4,0.9645,0.014500000000000068,0.4308,0.4308,2000
Heavy_Tails,0.5,100,Sandwich_HC5,0.955,0.0050000000000000044,0.4074,0.4074,2000
Heavy_Tails,0.5,100,Pairs_Bootstrap,0.94,0.010000000000000009,0.3818,0.3818,500
Heavy_Tails,0.5,100,Wild_Bootstrap,0.914,0.03599999999999992,0.3686,0.3686,500
Heavy_Tails,0.5,100,Bootstrap_t,0.926,0.02399999999999991,0.3986,0.3986,500
Heavy_Tails,0.5,100,AKS_Adaptive,0.9565,0.006500000000000061,0.3999,0.3999,2000
Heavy_Tails,0.5,100,AMRI_v1,0.9615,0.011500000000000066,0.4056,0.4056,2000
Heavy_Tails,0.5,100,AMRI_v2,0.959,0.009000000000000008,0.4027,0.4027,2000
Heavy_Tails,0.5,500,Naive_OLS,0.951,0.0010000000000000009,0.176,0.176,2000
Heavy_Tails,0.5,500,Sandwich_HC3,0.953,0.0030000000000000027,0.1759,0.1759,2000
Heavy_Tails,0.5,500,Sandwich_HC4,0.955,0.0050000000000000044,0.1785,0.1785,2000
Heavy_Tails,0.5,500,Sandwich_HC5,0.9535,0.0035000000000000586,0.1768,0.1768,2000
Heavy_Tails,0.5,500,Pairs_Bootstrap,0.954,0.0040000000000000036,0.1734,0.1734,500
Heavy_Tails,0.5,500,Wild_Bootstrap,0.946,0.0040000000000000036,0.1719,0.1719,500
Heavy_Tails,0.5,500,Bootstrap_t,0.95,0.0,0.1746,0.1746,500
Heavy_Tails,0.5,500,AKS_Adaptive,0.952,0.0020000000000000018,0.1764,0.1764,2000
Heavy_Tails,0.5,500,AMRI_v1,0.955,0.0050000000000000044,0.1781,0.1781,2000
Heavy_Tails,0.5,500,AMRI_v2,0.952,0.0020000000000000018,0.1765,0.1765,2000
Heavy_Tails,0.5,2000,Naive_OLS,0.949,0.0010000000000000009,0.0877,0.0877,2000
Heavy_Tails,0.5,2000,Sandwich_HC3,0.9475,0.0024999999999999467,0.0877,0.0877,2000
Heavy_Tails,0.5,2000,Sandwich_HC4,0.9485,0.0014999999999999458,0.088,0.088,2000
Heavy_Tails,0.5,2000,Sandwich_HC5,0.9475,0.0024999999999999467,0.0878,0.0878,2000
Heavy_Tails,0.5,2000,Pairs_Bootstrap,0.938,0.01200000000000001,0.0863,0.0863,500
Heavy_Tails,0.5,2000,Wild_Bootstrap,0.942,0.008000000000000007,0.0862,0.0862,500
Heavy_Tails,0.5,2000,Bootstrap_t,0.932,0.017999999999999905,0.0865,0.0865,500
Heavy_Tails,0.5,2000,AKS_Adaptive,0.9495,0.0004999999999999449,0.0878,0.0878,2000
Heavy_Tails,0.5,2000,AMRI_v1,0.951,0.0010000000000000009,0.0885,0.0885,2000
Heavy_Tails,0.5,2000,AMRI_v2,0.9485,0.0014999999999999458,0.0877,0.0877,2000
Heavy_Tails,0.75,100,Naive_OLS,0.955,0.0050000000000000044,0.3961,0.3961,2000
