dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP1_nonlinearity,0.5,5000,Wild_Bootstrap,2000,2000,0.946,0.005054,0.102916,0.102721,-0.000502,0.026864,0.026372,1.0
DGP1_nonlinearity,0.5,5000,Bootstrap_t,2000,2000,0.946,0.005054,0.10332,0.103065,-0.000502,0.026864,0.02643,1.0
DGP1_nonlinearity,0.75,50,Naive_OLS,2000,2000,0.734,0.00988,0.815913,0.811663,-0.009264,0.364241,0.202899,1.0
DGP1_nonlinearity,0.75,50,Sandwich_HC0,2000,2000,0.8985,0.006753,1.228474,1.166112,-0.009264,0.364241,0.305494,1.0
DGP1_nonlinearity,0.75,50,Sandwich_HC3,2000,2000,0.9315,0.005648,1.411527,1.31341,-0.009264,0.364241,0.351015,1.0
DGP1_nonlinearity,0.75,50,Bayesian,2000,2000,0.734,0.00988,0.815913,0.811663,-0.009264,0.364241,0.202899,1.0
DGP1_nonlinearity,0.75,50,AMRI,2000,2000,0.932,0.005629,1.463752,1.379081,-0.009264,0.364241,0.364003,1.0
DGP1_nonlinearity,0.75,50,Pairs_Bootstrap,2000,2000,0.9145,0.006253,1.203454,1.160657,-0.009264,0.364241,0.311129,1.0
DGP1_nonlinearity,0.75,50,Wild_Bootstrap,2000,2000,0.868,0.007569,1.127822,1.091019,-0.009264,0.364241,0.305205,1.0
DGP1_nonlinearity,0.75,50,Bootstrap_t,2000,2000,0.9335,0.005571,1.682509,1.461664,-0.009264,0.364241,0.351015,1.0
DGP1_nonlinearity,0.75,100,Naive_OLS,2000,2000,0.7405,0.009802,0.57309,0.570542,-0.006942,0.256352,0.144394,1.0
DGP1_nonlinearity,0.75,100,Sandwich_HC0,2000,2000,0.9175,0.006152,0.926593,0.885479,-0.006942,0.256352,0.233461,1.0
DGP1_nonlinearity,0.75,100,Sandwich_HC3,2000,2000,0.9375,0.005413,0.99689,0.9441,-0.006942,0.256352,0.251173,1.0
DGP1_nonlinearity,0.75,100,Bayesian,2000,2000,0.7405,0.009802,0.57309,0.570542,-0.006942,0.256352,0.144394,1.0
DGP1_nonlinearity,0.75,100,AMRI,2000,2000,0.9485,0.004942,1.045936,0.991305,-0.006942,0.256352,0.263531,1.0
DGP1_nonlinearity,0.75,100,Pairs_Bootstrap,2000,2000,0.9225,0.005979,0.907567,0.877757,-0.006942,0.256352,0.233793,1.0
DGP1_nonlinearity,0.75,100,Wild_Bootstrap,2000,2000,0.906,0.006525,0.880801,0.85179,-0.006942,0.256352,0.233227,1.0
