dgp,delta,n,method,B,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true
DGP1_nonlinearity,1.0,500,Bayesian_Normal,500,0.686,0.020755914819636352,0.30224363152599326,0.30098819302278684,-0.004912141535507633,0.1521643790795584,0.07691699359207588,1.0
DGP1_nonlinearity,1.0,500,AMRI,500,0.938,0.010784804124322337,0.5976541237403682,0.5868582034796008,-0.004892105407244655,0.15216623733088225,0.15209504390189993,1.0
DGP3_heteroscedasticity,0.0,100,Naive_OLS,500,0.942,0.010453324829928518,0.4000096125768304,0.3971913820118939,0.002019228179671712,0.09831224653342427,0.10078512793647852,1.0
DGP3_heteroscedasticity,0.0,100,Sandwich_HC3,500,0.948,0.009929350431926557,0.3992398517793224,0.39452181434080974,0.002019228179671712,0.09831224653342427,0.10184877245920727,1.0
DGP3_heteroscedasticity,0.0,100,Pairs_Bootstrap,500,0.944,0.010282412168358165,0.39117246564738195,0.38542857832498967,0.002019228179671712,0.09831224653342427,0.1000412172492681,1.0
DGP3_heteroscedasticity,0.0,100,Bayesian_Normal,500,0.942,0.010453324829928518,0.3999884750251648,0.39717137486342596,0.0019154771350860078,0.09829879684694637,0.10077980218734177,1.0
DGP3_heteroscedasticity,0.0,100,AMRI,500,0.946,0.010107818755794947,0.40225818477119923,0.3973255606458699,0.002019228179671712,0.09831224653342427,0.1013516709123435,1.0
DGP3_heteroscedasticity,0.0,500,Naive_OLS,500,0.962,0.008550555537507495,0.17652758268164792,0.17632709564585863,-0.0022126722099826694,0.042064146125600596,0.04492392735421868,1.0
DGP3_heteroscedasticity,0.0,500,Sandwich_HC3,500,0.964,0.008331146379700699,0.17686429299043271,0.1764229264902416,-0.0022126722099826694,0.042064146125600596,0.04511927116659176,1.0
DGP3_heteroscedasticity,0.0,500,Pairs_Bootstrap,500,0.956,0.009172131704244116,0.1753353292508931,0.1751130656547995,-0.0022126722099826694,0.042064146125600596,0.04490279603634586,1.0
DGP3_heteroscedasticity,0.0,500,Bayesian_Normal,500,0.962,0.008550555537507495,0.17652580036840027,0.17632525141063016,-0.0022327470096065983,0.04206429670186379,0.044923473779147606,1.0
DGP3_heteroscedasticity,0.0,500,AMRI,500,0.962,0.008550555537507495,0.17748497445543995,0.1763957116505841,-0.0022126722099826694,0.042064146125600596,0.04516757085650877,1.0
DGP3_heteroscedasticity,0.5,100,Naive_OLS,500,0.928,0.0115599307956406,0.42450083521338705,0.42134492126244516,0.0012568488109097108,0.11639147745766484,0.10695585716182193,1.0
DGP3_heteroscedasticity,0.5,100,Sandwich_HC3,500,0.94,0.010620734437881408,0.4665963875448929,0.4576351320232146,0.0012568488109097108,0.11639147745766484,0.11903187793891769,1.0
DGP3_heteroscedasticity,0.5,100,Pairs_Bootstrap,500,0.938,0.010784804124322337,0.4521486703701948,0.44378361945781997,0.0012568488109097108,0.11639147745766484,0.11577971517337876,1.0
DGP3_heteroscedasticity,0.5,100,Bayesian_Normal,500,0.928,0.0115599307956406,0.42447843145387504,0.4213222058756719,0.0011532024394780571,0.11637760041129182,0.10695021238305241,1.0
DGP3_heteroscedasticity,0.5,100,AMRI,500,0.942,0.010453324829928518,0.46435219781889525,0.4357255902964656,0.0012568488109097108,0.11639147745766484,0.11699667756302594,1.0
DGP3_heteroscedasticity,0.5,500,Naive_OLS,500,0.932,0.01125841907196565,0.18795287393963006,0.18764914653316167,-0.0020930004863501032,0.05102159656078632,0.04783151237111666,1.0
