dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true,avg_weight,pct_full_robust,pct_full_naive
DGP2_heavy_tails,0.5,1000,AMRI,2000,2000,0.9475,0.004987,0.12515,0.124054,-0.001217,0.031633,0.031888,1.0,,,
DGP2_heavy_tails,0.5,1000,AMRI_v2,2000,2000,0.9465,0.005032,0.1241,0.123691,-0.001217,0.031633,0.03162,1.0,0.3013,0.1615,0.529
DGP2_heavy_tails,0.5,5000,AMRI,2000,2000,0.9545,0.00466,0.056084,0.055646,0.000125,0.013962,0.014304,1.0,,,
DGP2_heavy_tails,0.5,5000,AMRI_v2,2000,2000,0.9515,0.004804,0.055538,0.05547,0.000125,0.013962,0.014165,1.0,0.3292,0.192,0.4965
DGP2_heavy_tails,0.75,50,AMRI,2000,2000,0.967,0.003994,0.58772,0.546957,0.001603,0.143567,0.146153,1.0,,,
DGP2_heavy_tails,0.75,50,AMRI_v2,2000,2000,0.966,0.004052,0.581315,0.54485,0.001603,0.143567,0.14456,1.0,0.2621,0.1525,0.5715
DGP2_heavy_tails,0.75,100,AMRI,2000,2000,0.9535,0.004708,0.404622,0.386605,0.002474,0.103909,0.101947,1.0,,,
DGP2_heavy_tails,0.75,100,AMRI_v2,2000,2000,0.9515,0.004804,0.399809,0.383814,0.002474,0.103909,0.100734,1.0,0.3093,0.176,0.5255
DGP2_heavy_tails,0.75,250,AMRI,2000,2000,0.9545,0.00466,0.252574,0.244591,-0.000823,0.063266,0.064119,1.0,,,
DGP2_heavy_tails,0.75,250,AMRI_v2,2000,2000,0.952,0.00478,0.249227,0.243009,-0.000823,0.063266,0.063269,1.0,0.3552,0.2185,0.475
DGP2_heavy_tails,0.75,500,AMRI,2000,2000,0.947,0.00501,0.178212,0.173648,-0.000758,0.045324,0.045353,1.0,,,
DGP2_heavy_tails,0.75,500,AMRI_v2,2000,2000,0.9455,0.005076,0.175597,0.172777,-0.000758,0.045324,0.044687,1.0,0.3843,0.246,0.436
DGP2_heavy_tails,0.75,1000,AMRI,2000,2000,0.9555,0.004611,0.126221,0.123194,2.5e-05,0.032351,0.032161,1.0,,,
DGP2_heavy_tails,0.75,1000,AMRI_v2,2000,2000,0.9515,0.004804,0.124208,0.122157,2.5e-05,0.032351,0.031648,1.0,0.4301,0.291,0.3935
DGP2_heavy_tails,0.75,5000,AMRI,2000,2000,0.951,0.004827,0.056491,0.055708,-0.000274,0.014074,0.014408,1.0,,,
DGP2_heavy_tails,0.75,5000,AMRI_v2,2000,2000,0.948,0.004965,0.055468,0.055143,-0.000274,0.014074,0.014147,1.0,0.4917,0.3595,0.356
DGP2_heavy_tails,1.0,50,AMRI,2000,2000,0.966,0.004052,0.301488,0.241689,0.000159,0.095081,0.074973,1.0,,,
DGP2_heavy_tails,1.0,50,AMRI_v2,2000,2000,0.9665,0.004024,0.294858,0.23778,0.000159,0.095081,0.073325,1.0,0.4081,0.278,0.4295
DGP2_heavy_tails,1.0,100,AMRI,2000,2000,0.9535,0.004708,0.218108,0.17814,-0.000529,0.067546,0.054954,1.0,,,
DGP2_heavy_tails,1.0,100,AMRI_v2,2000,2000,0.95,0.004873,0.212815,0.17521,-0.000529,0.067546,0.05362,1.0,0.4985,0.3695,0.36
DGP2_heavy_tails,1.0,250,AMRI,2000,2000,0.964,0.004166,0.147549,0.120394,0.001154,0.067499,0.037457,1.0,,,
